State ID,State,State Abbreviation,Latitude,Longitude,xPosition,yPosition,Min,Max,Median,Abortion Providers
1,Alabama,AL,32.31823,-86.902298,7,1,4,12,7,3
2,Alaska,AK,66.160507,-153.369141,0,4,5,8,6,4
4,Arizona,AZ,34.048927,-111.093735,2.5,1.5,1,17,6.5,8
5,Arkansas,AR,34.799999,-92.199997,5.5,1.5,13,22,17.5,2
6,California,CA,36.778259,-119.417931,1.5,1.5,0,14,2,155
8,Colorado,CO,39.113014,-105.358887,3,2,0,17,7,19
9,Connecticut,CT,41.599998,-72.699997,10.5,2.5,2,8,5,17
10,Delaware,DE,39,-75.5,9,2,11,26,16,3
11,District of Columbia,DC,38.942142,-77.025955,11.5,1.5,1,13,1,5
12,Florida,FL,27.994402,-81.760254,8,0,0,14,2,55
13,Georgia,GA,33.247875,-83.441162,7.5,0.5,2,11,4,13
15,Hawaii,HI,19.741755,-155.844437,0,0,0,9,6,4
16,Idaho,ID,44.068203,-114.742043,1.5,2.5,7,19,12,3
17,Illinois,IL,40,-89,5.5,2.5,0,19,3.5,28
18,Indiana,IN,40.273502,-86.126976,6.5,2.5,2,16,9,7
19,Iowa,IA,42.032974,-93.581543,4.5,2.5,9,13,11,6
20,Kansas,KS,38.5,-98,4.5,1.5,8,16,8,3
21,Kentucky,KY,37.839333,-84.27002,6,2,8,15,11.5,2
22,Louisiana,LA,30.39183,-92.329102,5,1,1,9,5,2
23,Maine,ME,45.367584,-68.972168,11,4,0,19,2,21
24,Maryland,MD,39.045753,-76.641273,8,2,0,12,3,22
25,Massachusetts,MA,42.407211,-71.382439,10,3,1,11,4,14
26,Michigan,MI,44.182205,-84.506836,7,3,1,21,5,25
27,Minnesota,MN,46.39241,-94.63623,4,3,1,8,6,7
28,Mississippi,MS,33,-90,6,1,,,14,1
29,Missouri,MO,38.573936,-92.60376,5,2,,,26,1
30,Montana,MT,46.96526,-109.533691,2,3,2,6,4,5
31,Nebraska,NE,41.5,-100,4,2,1,12,3,3
32,Nevada,NV,39.876019,-117.224121,2,2,1,14,3,9
33,New Hampshire,NH,44,-71.5,10.5,3.5,4,24,9.5,6
34,New Jersey,NJ,39.833851,-74.871826,9.5,2.5,0,10,2,38
35,New Mexico,NM,34.307144,-106.018066,3,1,0,11,8.5,6
36,New York,NY,43,-75,9,3,0,22,4,84
37,North Carolina,NC,35.782169,-80.793457,8.5,1.5,1,11,4,15
38,North Dakota,ND,47.650589,-100.437012,3,3,8,8,8,1
39,Ohio,OH,40.367474,-82.996216,7.5,2.5,4,18,6,9
40,Oklahoma,OK,36.084621,-96.921387,4,1,,,,4
41,Oregon,OR,44,-120.5,1,2,4,13,9,11
42,Pennsylvania,PA,41.203323,-77.194527,8.5,2.5,1,10,3,19
44,Rhode Island,RI,41.700001,-71.5,11,3,1,1,1,1
45,South Carolina,SC,33.836082,-81.163727,8,1,0,14,11,3
46,South Dakota,SD,44.5,-100,3.5,2.5,,,18,1
47,Tennessee,TN,35.860119,-86.660156,6.5,1.5,3,17,14,6
48,Texas,TX,31,-100,3.5,0.5,1,12,2,21
49,Utah,UT,39.41922,-111.950684,3.5,1.5,,,3,2
50,Vermont,VT,44,-72.699997,9.5,3.5,2,14,4,7
51,Virginia,VA,37.926868,-78.024902,7.5,1.5,1,20,2,15
53,Washington,WA,47.751076,-120.740135,1,3,1,18,6,27
54,West Virginia,WV,39,-80.5,7,2,,,8,1
55,Wisconsin,WI,44.5,-89.5,5,3,7,10,10,4
56,Wyoming,WY,43.07597,-107.290283,2.5,2.5,,,10,1
