Order Date,Region,Fulfillment,Orders,Shipments
10/31/2021,Central,1,2,2
11/01/2021,East,1,1,1
11/01/2021,West,1,1,1
11/02/2021,Central,1,3,3
11/02/2021,East,0.666666666666667,3,2
11/02/2021,South,1,2,2
11/02/2021,West,0.5,4,2
11/03/2021,Central,0,1,
11/03/2021,East,0,2,
11/03/2021,South,0.5,6,3
11/03/2021,West,0.285714285714286,7,2
11/04/2021,Central,0.5,2,1
11/04/2021,East,0,1,
11/04/2021,South,0.4,5,2
11/05/2021,Central,0,3,
11/05/2021,East,0,2,
11/05/2021,West,0.333333333333333,3,1
11/06/2021,Central,0,4,
11/06/2021,East,0,3,
11/06/2021,South,0,2,
11/06/2021,West,0.25,4,1
